id|data_iniSE|casos|ibge_code|cidade|uf|cep|latitude|longitude
0|2015-11-08|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
1|2015-12-27|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
3|2015-09-20|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
4|2015-12-13|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
5|2015-06-14|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
6|2015-05-10|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
25|2015-11-01|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
26|2015-06-07|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
27|2015-09-27|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
28|2015-11-29|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
32|2015-05-03|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
39|2015-10-25|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
41|2015-11-15|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
64|2015-12-06|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
74|2015-03-08|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
75|2015-03-22|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
76|2015-05-24|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
77|2015-05-31|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
82|2015-01-04|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
83|2015-01-11|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
84|2015-01-18|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
85|2015-01-25|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
86|2015-02-01|0.0|230010|Abaiara|CE|63240-000|-7.3364|-39.0613
